,load
0,0.74448635
1,0.636925339
2,0.586426688
3,0.583146624
4,0.613550355
5,0.7795387
6,1.167019859
7,1.448712592
8,1.400164129
9,1.225258032
10,1.174555063
11,1.070283584
12,0.987442487
13,0.928522665
14,0.8992307
15,0.954826906
16,1.16772352
17,1.587458227
18,1.829050706
19,1.830085397
20,1.70819415
21,1.5705574
22,1.301782398
23,1.03612638
24,0.75124857
25,0.652428328
26,0.624010706
27,0.62854321
28,0.661221553
29,0.827325231
30,1.221107017
31,1.473525367
32,1.393940615
33,1.200292902
34,1.149517584
35,1.034714094
36,0.948781992
37,0.890361263
38,0.867181526
39,0.919377272
40,1.135533877
41,1.550648301
42,1.775562296
43,1.771550131
44,1.654849098
45,1.515944209
46,1.257976709
47,0.997949525
48,0.735332742
49,0.619290721
50,0.578108129
51,0.574040194
52,0.599265438
53,0.754713238
54,1.135445782
55,1.363825767
56,1.323370598
57,1.159581036
58,1.127688794
59,1.049648578
60,0.984987471
61,0.94058671
62,0.911851784
63,0.956359898
64,1.150466354
65,1.542208863
66,1.763766882
67,1.754070426
68,1.630522917
69,1.492761674
70,1.233621778
71,0.973567402
72,0.716533557
73,0.62039298
74,0.589039824
75,0.600622818
76,0.629983553
77,0.799532752
78,1.158198751
79,1.416244716
80,1.361053295
81,1.190015687
82,1.149343144
83,1.058473876
84,0.977977257
85,0.929607763
86,0.91040935
87,0.970921791
88,1.196670292
89,1.612628856
90,1.844260547
91,1.842474475
92,1.724308383
93,1.582166492
94,1.329906495
95,1.074090383
96,0.813730507
97,0.715082337
98,0.682088453
99,0.677441917
100,0.709072716
101,0.86909121
102,1.236134442
103,1.515489386
104,1.431472891
105,1.232874198
106,1.182105865
107,1.072211764
108,0.992812663
109,0.937353278
110,0.905915338
111,0.964896556
112,1.182128781
113,1.610051851
114,1.835435242
115,1.827598374
116,1.710433647
117,1.568204103
118,1.312087526
119,1.060077831
120,0.80392611
121,0.699920548
122,0.67081366
123,0.674326037
124,0.706668626
125,0.870648099
126,1.273851207
127,1.490463492
128,1.415947486
129,1.217363761
130,1.170658547
131,1.058419938
132,0.978305077
133,0.915309525
134,0.883473095
135,0.93822053
136,1.149878402
137,1.571810666
138,1.800033834
139,1.797772687
140,1.679289148
141,1.546183115
142,1.293531813
143,1.033692105
144,0.78548804
145,0.673800022
146,0.640152963
147,0.643171908
148,0.669337434
149,0.835849585
150,1.24827697
151,1.481835919
152,1.441729044
153,1.269965014
154,1.23182549
155,1.140590157
156,1.069144635
157,1.016668667
158,0.985119369
159,1.030028167
160,1.224052591
161,1.629204361
162,1.854610168
163,1.845512359
164,1.712932849
165,1.564571721
166,1.291271742
167,1.008458009
168,0.724222517
169,0.609623559
170,0.569985492
171,0.566638042
172,0.600808625
173,0.772423884
174,1.163655514
175,1.449012324
176,1.403868545
177,1.265468718
178,1.202881411
179,1.159646524
180,1.104026069
181,1.035246658
182,0.996127849
183,1.044883589
184,1.265812793
185,1.687463144
186,1.927029797
187,1.928266394
188,1.816917079
189,1.664400625
190,1.39853889
191,1.121313437
192,0.833999428
193,0.728467098
194,0.695551244
195,0.697658282
196,0.743436607
197,0.909731583
198,1.274998629
199,1.55435962
200,1.46828465
201,1.269999104
202,1.225134334
203,1.119458478
204,1.044755934
205,0.993761063
206,0.966650501
207,1.014503516
208,1.227545944
209,1.658264172
210,1.88223676
211,1.880252885
212,1.760965272
213,1.624768407
214,1.374320779
215,1.118994822
216,0.858554911
217,0.754408065
218,0.720909326
219,0.719614919
220,0.757660269
221,0.916012641
222,1.284124939
223,1.532109505
224,1.462449304
225,1.262943378
226,1.209475949
227,1.088298737
228,1.00360437
229,0.948947812
230,0.925133472
231,0.984555135
232,1.201347894
233,1.632563501
234,1.853876044
235,1.84856646
236,1.72501812
237,1.582458729
238,1.319519625
239,1.05712685
240,0.791762253
241,0.683351323
242,0.64644768
243,0.644385085
244,0.674776204
245,0.835333355
246,1.202097649
247,1.479451525
248,1.41917417
249,1.247000436
250,1.195496017
251,1.100946772
252,1.022936987
253,0.970504041
254,0.941811541
255,0.993250165
256,1.184417378
257,1.590096624
258,1.809602134
259,1.796786547
260,1.667205427
261,1.522311864
262,1.260043027
263,0.997402475
264,0.731652169
265,0.622748029
266,0.590069916
267,0.588704625
268,0.617577691
269,0.783409209
270,1.177629953
271,1.433874385
272,1.364080688
273,1.190126281
274,1.130940987
275,1.039479793
276,0.957692134
277,0.910613
278,0.903837431
279,0.947174291
280,1.153624402
281,1.580414065
282,1.807871437
283,1.807079719
284,1.6814915
285,1.545973678
286,1.287931382
287,1.036448806
288,0.773329447
289,0.666118047
290,0.631341423
291,0.637878673
292,0.666134372
293,0.839112047
294,1.225055299
295,1.456719238
296,1.392830742
297,1.196343913
298,1.134151274
299,1.026548825
300,0.950270785
301,0.901799112
302,0.870780698
303,0.917829236
304,1.111989418
305,1.505948282
306,1.735545873
307,1.726721965
308,1.596381367
309,1.44917057
310,1.183554405
311,0.911852561
312,0.656976199
313,0.542181745
314,0.500820283
315,0.495380731
316,0.546184849
317,0.738211736
318,1.150895125
319,1.406032725
320,1.354914315
321,1.182261691
322,1.127100438
323,1.042387083
324,0.96150177
325,0.908062004
326,0.881547161
327,0.939892147
328,1.156315845
329,1.576170163
330,1.823764479
331,1.829331943
332,1.709793626
333,1.566924058
334,1.305040002
335,1.028827565
336,0.747744451
337,0.634492051
338,0.60435137
339,0.605494277
340,0.639952328
341,0.813944578
342,1.20989138
343,1.469049288
344,1.416273846
345,1.231596306
346,1.176744757
347,1.074390299
348,0.988237451
349,0.93149045
350,0.903036279
351,0.964735991
352,1.184671965
353,1.60911904
354,1.843147621
355,1.842871255
356,1.723593459
357,1.58104943
358,1.315725009
359,1.033713621
360,0.744998536
361,0.638995278
362,0.609416286
363,0.604854077
364,0.633690004
365,0.792617436
366,1.166803975
367,1.397165334
368,1.342310588
369,1.169856399
370,1.135215961
371,1.049201048
372,0.978821615
373,0.925635421
374,0.891878081
375,0.938032283
376,1.139928989
377,1.543536031
378,1.775416259
379,1.77314509
380,1.645661288
381,1.506561413
382,1.250014389
383,0.99322215
384,0.737519469
385,0.619730767
386,0.585413581
387,0.587804446
388,0.627271745
389,0.796512916
390,1.193732718
391,1.438085748
392,1.395668784
393,1.222876961
394,1.191006009
395,1.089002035
396,1.014256368
397,0.982122638
398,0.96744285
399,1.037331391
400,1.257972355
401,1.677518545
402,1.908245858
403,1.904486552
404,1.789934203
405,1.661182896
406,1.4152095
407,1.159801451
408,0.897262052
