,solar
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1.473955096
9,2.712176287
10,3.034702118
11,3.817104896
12,4.035986168
13,3.658624554
14,2.878492615
15,1.746182325
16,0.302157427
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0.180660779
33,0.422022845
34,0.457473956
35,0.350140674
36,0.410771652
37,0.180686
38,0.188771233
39,0.080472577
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0.125464998
57,0.321893869
58,0.441478241
59,0.426503718
60,0.201881636
61,0.15732784
62,0.162242954
63,1.519098682
64,0.144254978
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0.669798949
81,0.957972783
82,1.887022435
83,1.504872894
84,3.470331258
85,3.446869245
86,2.924385731
87,1.816838468
88,0.402224989
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0.367055368
105,0.780511606
106,1.452700613
107,2.776310793
108,2.802833715
109,1.90085011
110,1.446631753
111,0.800180173
112,0.057873348
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1.289317742
129,2.543492533
130,3.183650223
131,3.66405636
132,3.286082226
133,2.637485486
134,2.314118378
135,1.347459025
136,0.151063784
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0.167522729
153,0.402291604
154,0.693375118
155,1.085309731
156,0.987595408
157,0.256046719
158,0.32463728
159,0.160565963
160,0.00644605
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1.747458566
177,3.1633492
178,4.103624173
179,4.618751498
180,4.700852925
181,3.642474369
182,2.989824805
183,2.067817507
184,0.36425455
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0.757274505
201,1.48099112
202,1.755409208
203,3.390933496
204,3.240368832
205,2.664531681
206,2.062732098
207,1.913560126
208,0.416647462
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0.80974428
225,1.24377467
226,1.628216593
227,2.209642454
228,2.477655409
229,1.786600063
230,1.107512007
231,0.619112156
232,0.093064857
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,1.536547725
249,1.88731618
250,2.06984005
251,2.822957107
252,2.884908731
253,2.515514789
254,1.846133251
255,1.146316941
256,0.235534032
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0.637520836
273,1.279519526
274,1.367025055
275,2.123729003
276,1.62398174
277,1.268022265
278,0.976099419
279,0.542019567
280,0.069506586
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,1.552256466
297,2.488920662
298,2.998086829
299,4.208582369
300,3.581002989
301,3.289315377
302,2.600277734
303,1.854740814
304,0.522861749
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0.442830904
321,0.928264132
322,0.687488011
323,0.693019018
324,0.575051315
325,0.472739445
326,0.083186887
327,0.040545552
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,1.621611678
345,2.948066683
346,3.585331316
347,4.029737566
348,4.025747757
349,3.589936002
350,2.927690943
351,1.860500317
352,0.543004009
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0.009321711
368,1.530145429
369,2.645160955
370,3.558423408
371,4.102751922
372,3.778824271
373,2.645248859
374,1.87384422
375,1.125290201
376,0.260806686
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
