,wind
0,1.833657218
1,1.539453856
2,1.026612736
3,0.928210266
4,0.822199421
5,0.682022014
6,0.642815658
7,0.845033353
8,0.968914228
9,1.068375853
10,1.635194411
11,1.341781793
12,0.948010455
13,0.627222506
14,0.340755668
15,0.073992163
16,0.135240692
17,0.196020184
18,0.292781607
19,0.378166945
20,0.38476251
21,0.413999969
22,0.416474764
23,0.434197467
24,0.387156232
25,0.334043747
26,0.327419019
27,0.338318364
28,0.284698506
29,0.287829748
30,0.328450551
31,0.513130054
32,0.840607729
33,0.74966246
34,0.679056184
35,0.761425715
36,1.026520867
37,1.464824049
38,1.840633118
39,1.936962303
40,1.840404193
41,1.867385702
42,1.944947247
43,2.183262455
44,2.201687087
45,2.205948822
46,2.121956002
47,2.120682778
48,1.992412218
49,1.60546649
50,1.508357692
51,1.658650415
52,1.460177563
53,1.492857764
54,1.392718054
55,1.590367975
56,1.751963777
57,1.816382226
58,1.774061224
59,1.702578503
60,0.923969947
61,0.535957043
62,0.669299134
63,0.358102498
64,0.118863493
65,0.1210095
66,0.059778958
67,0.018330651
68,0.034639244
69,0.086208937
70,0.214363076
71,0.339705334
72,0.31715212
73,0.281610288
74,0.322067859
75,0.532121569
76,0.905227
77,1.012350434
78,0.672734778
79,0.493571947
80,0.777300315
81,0.996083939
82,1.771592222
83,3.370936844
84,4.782356067
85,5.649632621
86,6.032114173
87,6.077195265
88,5.046819458
89,4.458196614
90,4.383830361
91,4.218255551
92,3.939338805
93,3.450712331
94,3.097336591
95,2.842441037
96,2.413937522
97,1.974311287
98,1.606115798
99,1.361047317
100,1.176326499
101,0.890570269
102,0.734165114
103,0.559794424
104,1.094698149
105,1.421013887
106,1.141221569
107,0.979523678
108,0.921665745
109,0.818460853
110,0.500109345
111,0.288227778
112,0.138088178
113,0.089990043
114,0.062407615
115,0.051055586
116,0.040680586
117,0.025074328
118,0.014453166
119,0.009165275
120,0.015137521
121,0.051807501
122,0.10462369
123,0.184365794
124,0.273102341
125,0.265933948
126,0.334099441
127,0.446556847
128,1.179149862
129,1.554368033
130,1.448787546
131,1.381585845
132,1.210066542
133,1.157197668
134,0.970471838
135,0.605410326
136,0.285320405
137,0.164258319
138,0.2493823
139,0.481158018
140,0.483772313
141,0.372970049
142,0.455344458
143,0.644993014
144,0.731728787
145,0.691615492
146,0.873818429
147,0.963027116
148,1.00969319
149,0.985032827
150,1.385585489
151,1.498016
152,1.326628392
153,1.374566086
154,2.176681666
155,3.158741148
156,3.713079297
157,3.864045768
158,3.780616812
159,3.755254921
160,2.823381135
161,2.588222257
